target_id,quarter,sample_stratum,case_index,injected_period_days,requested_duration_hours,requested_depth,raw_top1_period_days,v2_recovered_period_days,recovered_period_days,raw_top1_exact_period_recovered,raw_top1_harmonic_period_recovered,v2_exact_period_recovered,v2_harmonic_period_recovered,exact_period_recovered,harmonic_period_recovered,v2_raw_rank_of_selected_candidate,raw_rank_of_selected_candidate,ranking_changed,selection_status,veto_reason,diagnostic_veto_reason,transit_consistency_veto_pass,diagnostic_consistency_veto_pass,event_depth_reduced_chi2,event_depth_chi2_pvalue,event_depth_relative_mad,odd_even_depth_z,odd_even_depth_difference_fraction,odd_even_depth_pvalue,robust_event_snr
10223890,5,quiet_low_scatter,1,2.0,4.0,0.0005,2.0025637794751674,2.0025637794751674,2.0025637794751674,True,True,True,True,True,True,1,1,False,raw_top1_mes_preserved,pass,pass,True,True,6.746594606470508,4.578732848346748e-40,0.2162289494456802,1.3790060525375012,0.0356180742904418,0.1678928877782615,73.59661593062243
11450313,5,smooth_background_dominant,2,5.0,2.0,0.0005,10.033198544617337,10.1558038221483,10.1558038221483,False,True,False,True,False,True,5,5,True,raw_failed_event_penalty_rank,pass,fails_depth_chi2;fails_odd_even,True,False,8.568070274687035,6.040313290870659e-13,1.376479148845811,4.808558841745055,1.9330770240598891,1.5202228273628818e-06,5.941405967192134
11450313,5,smooth_background_dominant,3,5.0,8.0,0.0002,10.033198544617337,10.1558038221483,10.1558038221483,False,True,False,True,False,True,5,5,True,raw_failed_event_penalty_rank,pass,fails_depth_chi2;fails_odd_even,True,False,8.064165110034098,4.7454612498387274e-12,1.429692767457075,4.673764747333962,1.971984362390768,2.957280609606417e-06,5.515573493079718
11450313,5,smooth_background_dominant,4,10.0,4.0,0.0002,10.033198544617337,10.1558038221483,10.1558038221483,True,True,True,True,True,True,6,6,True,raw_failed_event_penalty_rank,pass,fails_depth_chi2;fails_odd_even,True,False,8.620131551935291,4.878384159035673e-13,1.374147697519237,4.843266633253939,1.9807280597682329,1.2772171067694314e-06,5.8923875945819315
11450313,5,smooth_background_dominant,5,10.0,8.0,0.0005,10.033198544617337,10.1558038221483,10.1558038221483,True,True,True,True,True,True,5,5,True,raw_failed_event_penalty_rank,pass,fails_depth_chi2;fails_odd_even,True,False,8.647572176254478,4.35863247254216e-13,1.374147697519237,4.852397637088794,1.980770274576028,1.219777458263905e-06,5.904958783781761
12645975,5,gap_heavy,1,2.0,4.0,0.0005,2.002547356649302,2.002547356649302,2.002547356649302,True,True,True,True,True,True,1,1,False,raw_top1_mes_preserved,pass,pass,True,True,1.061282036680108,0.361314337621503,0.5417582188718432,2.2714113644809717,0.4571771493168502,0.0231220870877658,9.667898976035886
12645975,5,gap_heavy,5,10.0,8.0,0.0005,5.006368391623255,10.01273678324651,5.006368391623255,False,True,True,True,False,True,2,1,False,raw_top1_mes_preserved,pass,pass,True,True,1.2277906072473252,0.2320481346922328,0.6168617849261226,2.6938742087139467,0.8956512220125973,0.0070626814181882,5.979815200136036
2715763,5,quiet_low_scatter,0,2.0,2.0,0.0002,2.0025840413291007,2.0025840413291007,2.0025840413291007,True,True,True,True,True,True,1,1,False,raw_top1_mes_preserved,pass,pass,True,True,1.5300990476947822,0.0118422392077185,0.6282899883977777,0.177887675245299,0.028522995325785,0.8588111902018335,12.232952264922076
2715763,5,quiet_low_scatter,1,2.0,4.0,0.0005,2.0025840413291007,2.0025840413291007,2.0025840413291007,True,True,True,True,True,True,1,1,False,raw_top1_mes_preserved,pass,pass,True,True,8.347192917615956,9.880450717841819e-54,0.3343312663825086,-2.2950804065475694,0.0967872349994633,0.021728516731787,47.36206721894877
2715763,5,quiet_low_scatter,2,5.0,2.0,0.0005,5.006460103322752,5.006460103322752,5.006460103322752,True,True,True,True,True,True,1,1,False,raw_top1_mes_preserved,pass,pass,True,True,5.3982567958626255,7.289476418351664e-13,0.6295607399942084,2.353985374669989,0.2540945074657715,0.0185733418404512,17.784617469916427
2715763,5,quiet_low_scatter,3,5.0,8.0,0.0002,5.006460103322752,5.006460103322752,5.006460103322752,True,True,True,True,True,True,1,1,False,raw_top1_mes_preserved,pass,pass,True,True,0.8735350429928003,0.606278230200097,0.145952276733043,-0.5326128062601025,0.0546833002608749,0.5943016353915889,19.65393473384185
2715763,5,quiet_low_scatter,4,10.0,4.0,0.0002,9.992485675611531,9.992485675611531,9.992485675611531,True,True,True,True,True,True,1,1,False,raw_top1_mes_preserved,pass,pass,True,True,0.649380124975038,0.7553826924382747,0.2397677440265751,-0.2267147984099972,0.0464622238027224,0.820645519256195,9.758478130363567
2715763,5,quiet_low_scatter,5,10.0,8.0,0.0005,10.012920206645504,10.012920206645504,10.012920206645504,True,True,True,True,True,True,1,1,False,raw_top1_mes_preserved,pass,pass,True,True,1.8753965708859444,0.0590838006055466,0.088868023431034,-0.6225152664717646,0.0372393156426452,0.5336031084663422,33.83916171667761
