target_id,quarter,sample_stratum,case_index,pipeline,branch,detector,zero_injection_control,injected_period_days,injected_epoch_days,requested_duration_hours,requested_depth,phase_fraction,success,error,recovered_period_days,recovered_epoch_days,recovered_duration_hours,mes,max_ses,observed_event_count,expected_event_count,observability_fraction,period_cadences,duration_cadences,period_exact_fractional_error,exact_period_recovered,harmonic_period_recovered,runtime_seconds,wavelet,segment_count,n_period_trials,n_duration_trials,radius_ratio,realized_max_depth_on_observed_cadences,in_transit_cadence_count,event_consistency_score,robust_veto_score,consistency_weight,valid_event_count,expected_event_count_event_check,event_observability_fraction,positive_event_fraction,single_event_fraction,anti_dominance_score,combined_event_snr,leave_one_out_combined_snr_min,leave_one_out_ratio,leave_one_out_ratio_normalized,median_event_depth,event_depth_relative_mad,event_depth_weighted_mean,event_depth_weighted_mean_error,event_depth_chi2,event_depth_chi2_dof,event_depth_reduced_chi2,event_depth_chi2_pvalue,odd_even_tested,odd_event_count,even_event_count,odd_depth,even_depth,odd_even_depth_difference,odd_even_depth_difference_fraction,odd_even_depth_z,odd_even_depth_pvalue,robust_event_snr,robust_event_weight_min,robust_event_effective_count,event_consistent_flag,transit_consistency_veto_pass,diagnostic_consistency_veto_pass,fails_min_events,fails_observability,fails_positive_events,fails_single_event_dominance,fails_leave_one_out,fails_depth_chi2,fails_odd_even,fails_robust_sign,veto_reason,diagnostic_veto_reason,any_candidate_survives_veto,selection_status,raw_rank_of_selected_candidate,ranking_changed,raw_top1_period_days,raw_top1_epoch_days,raw_top1_duration_hours,raw_top1_mes,raw_top1_max_ses,raw_top1_period_exact_fractional_error,raw_top1_exact_period_recovered,raw_top1_harmonic_period_recovered,raw_fap_threshold,hardened_fap_threshold,raw_empirical_p_value,hardened_empirical_p_value,raw_passes_fap,hardened_passes_fap,raw_fap_harmonic_recovered,hardened_fap_harmonic_recovered
12645975,5,gap_heavy,0,tps_like_chi2_robust_hardened,integrated_wavelet_whitening,tps_like_chi2_robust,False,2.0,443.81103698692897,2.0,0.0002,0.15,True,,13.323070168728009,455.93500430809945,9.80839521624148,23.763618341770893,,3,7,0.4285714285714285,666,20,5.661535084364004,False,False,0.4091007504612207,db6,43,686,7,0.0132896961208007,0.0001999774358178,225,18.96418757732111,23.763618341770893,0.7980345124457118,7,7,1.0,0.8571428571428571,0.3970936419097448,0.7033907511052977,1.5547560309333013,0.9683351257436258,0.6228212700113123,0.6727238587327304,0.0001168241570226,1.1475927364863394,0.0001307407603292,8.213517381061277e-05,2.4984600584542074,6,0.4164100097423679,0.8686399696567355,True,3,4,0.0001614080375011,0.0001064108976708,5.499713983033838e-05,0.4107038943682526,0.3325663143055928,0.7394616745529795,1.393248552605801,0.6695133663748409,6.8983710807938525,True,True,True,False,False,False,False,False,False,False,False,pass,pass,True,raw_failed_event_penalty_rank,6,True,13.609148362535052,455.3015103537691,9.80839521624148,25.363013050705263,20.667918176130193,5.804574181267526,False,False,64.59926405062633,62.34724683743858,0.9306930693069307,0.900990099009901,False,False,False,False
12645975,5,gap_heavy,1,tps_like_chi2_robust_hardened,integrated_wavelet_whitening,tps_like_chi2_robust,False,2.0,444.41103698692893,4.0,0.0005,0.45,True,,2.002547356649302,444.3488374589142,3.923358086496592,47.15037600934835,,27,47,0.574468085106383,98,8,0.0012736783246509,True,True,0.4030271251685917,db6,43,686,7,0.0209786415672256,0.0004999900603063,424,45.35819141419962,47.15037600934835,0.9619900253861516,46,47,0.9787234042553192,0.9347826086956522,0.0530103997720412,0.968033813566358,9.750266414130705,9.325346423365728,0.95641965329797,0.96698814709353,0.0004875758202461,0.5417582188718432,0.0004094319009472,4.1798279471038375e-05,47.75769165060486,45,1.061282036680108,0.361314337621503,True,23,23,0.0005116807514554,0.0003212762888584,0.000190404462597,0.4571771493168502,2.2714113644809717,0.0231220870877658,9.667898976035886,0.7182534843682986,45.77979177912571,True,True,True,False,False,False,False,False,False,False,False,pass,pass,True,raw_top1_mes_preserved,1,False,2.002547356649302,444.34880236229947,3.923358086496592,47.15037600934835,22.442570420001843,0.0012736783246509,True,True,64.59926405062633,62.34724683743858,0.0891089108910891,0.07920792079207921,False,False,False,False
12645975,5,gap_heavy,2,tps_like_chi2_robust_hardened,integrated_wavelet_whitening,tps_like_chi2_robust,False,5.0,447.26103698692896,2.0,0.0005,0.75,True,,5.9259054431458935,444.02189095170615,7.846716172993183,28.099781203914464,,11,16,0.6875,290,16,0.1851810886291787,False,False,0.4019810003228485,db6,43,686,7,0.0210136524520293,0.0004999857716809,98,22.86137093521883,28.099781203914464,0.8135782541977269,16,16,1.0,0.6875,0.2123432387665208,0.8401672119823778,1.8534750567858311,1.3612292749941244,0.7344200667877745,0.7585057834105572,0.0001132295537921,2.0863889549694767,0.0001009914873959,5.689506074142257e-05,12.202675391580687,15,0.8135116927720459,0.663627800617463,True,8,8,9.695050424998172e-05,0.0001048490782077,-7.89857395773133e-06,0.0782813706702013,-0.0693948167779795,0.9446753545872336,1.7627029651464063,0.791894478729366,15.958429987006326,True,True,True,False,False,False,False,False,False,False,False,pass,pass,True,raw_top1_mes_preserved,1,False,5.9259054431458935,444.0218558550914,7.846716172993183,28.099781203914464,19.342758392871843,0.1851810886291787,False,False,64.59926405062633,62.34724683743858,0.8217821782178217,0.7326732673267327,False,False,False,False
12645975,5,gap_heavy,3,tps_like_chi2_robust_hardened,integrated_wavelet_whitening,tps_like_chi2_robust,False,5.0,445.76103698692896,8.0,0.0002,0.45,True,,9.317975455429403,446.535292225868,9.80839521624148,27.0242255179338,,4,9,0.4444444444444444,530,20,0.8635950910858806,False,False,0.4009538330137729,db6,43,686,7,0.0132623428976322,0.0001999999873457,305,23.911303626181677,27.0242255179338,0.884809949884176,10,10,1.0,0.9,0.2358533197397356,0.8490518669558492,2.3095311556015905,1.757390766188193,0.760929663982136,0.8020902924567134,0.0001732888534084,0.8196353203368235,0.0001381929045838,6.337574605334357e-05,7.949934590702092,9,0.8833260656335659,0.5391994025556127,True,5,5,3.940631231787813e-05,0.0002507755170874,-0.0002113692047695,1.4568052396852893,-1.6640316351722275,0.0961061075925261,2.551396511893969,0.4207600057152546,9.619627781110594,True,True,True,False,False,False,False,False,False,False,False,pass,pass,True,raw_failed_event_penalty_rank,7,True,10.830103051266631,445.2274711004211,9.80839521624148,29.343813624841314,25.926078043379892,1.1660206102533266,False,False,64.59926405062633,62.34724683743858,0.7029702970297029,0.7722772277227723,False,False,False,False
12645975,5,gap_heavy,4,tps_like_chi2_robust_hardened,integrated_wavelet_whitening,tps_like_chi2_robust,False,10.0,445.01103698692896,4.0,0.0002,0.15,True,,9.992302626546008,445.1049012568328,9.80839521624148,24.19118317472097,,3,7,0.4285714285714285,666,20,0.0007697373453991,True,True,0.4216913748532533,db6,43,686,7,0.0132676443400281,0.000199996334662,85,20.150632176484777,24.19118317472097,0.83297422994761,10,10,1.0,0.7,0.2446093403473782,0.8393229551695797,1.56583902854723,1.2172155447717008,0.7773567541620299,0.8194059658891967,9.17605120861753e-05,1.510837532762056,0.0001041791619491,6.382088445614836e-05,2.1095869135259573,9,0.2343985459473286,0.9896136061571302,True,5,5,0.0001236517438948,8.606108259595899e-05,3.75906612988458e-05,0.358496539557168,0.294310007824459,0.7685210259976771,1.56583902854723,1.0,10.0,True,True,True,False,False,False,False,False,False,False,False,pass,pass,True,raw_failed_event_penalty_rank,4,True,13.609148362535052,455.2810761970686,9.80839521624148,26.46813759992034,21.275429957940517,0.3609148362535052,False,False,64.59926405062633,62.34724683743858,0.8712871287128713,0.8811881188118812,False,False,False,False
12645975,5,gap_heavy,5,tps_like_chi2_robust_hardened,integrated_wavelet_whitening,tps_like_chi2_robust,False,10.0,451.01103698692896,8.0,0.0005,0.75,True,,5.006368391623255,445.94270168155344,5.885037129744887,44.11788644910206,,11,19,0.5789473684210527,245,12,0.4993631608376745,False,True,0.4003732092678547,db6,43,686,7,0.0209698318997982,0.000499998527042,153,40.04918179712642,44.11788644910206,0.9077765283096773,18,19,0.9473684210526316,0.8333333333333334,0.1219949220986243,0.929652435424986,5.960589695601138,5.359631904043945,0.8991781313179978,0.92524666387273,0.0004466603494646,0.6168617849261226,0.000339772621148,5.8032780471652024e-05,20.87244032320453,17,1.2277906072473252,0.2320481346922328,True,9,9,0.000506467754471,0.0001931576018162,0.0003133101526548,0.8956512220125973,2.6938742087139467,0.0070626814181882,5.979815200136036,0.896963847663999,17.984753122204225,True,True,True,False,False,False,False,False,False,False,False,pass,pass,True,raw_top1_mes_preserved,1,False,5.006368391623255,445.9426665849387,5.885037129744887,44.11788644910206,33.90367292699,0.4993631608376745,False,True,64.59926405062633,62.34724683743858,0.1485148514851485,0.10891089108910891,False,False,False,False
1431344,5,gap_heavy,0,tps_like_chi2_robust_hardened,integrated_wavelet_whitening,tps_like_chi2_robust,False,2.0,443.8104384814404,2.0,0.0002,0.15,True,,12.587683917488905,447.781259826188,9.808584870770574,83.78306720523038,,3,8,0.375,600,20,5.293841958744452,False,False,0.4733380419202149,db6,44,686,7,0.0132896972821566,0.0001999998500695,229,67.49404511376794,83.78306720523038,0.8055809767436449,8,8,1.0,0.75,0.2967041015993224,0.8037667410293459,1.4457415840632937,0.94480071388532,0.6535059406881925,0.6986272372218939,7.415822001774486e-05,0.8771096138567576,4.748010905695142e-05,3.382181035073139e-05,5.181741040098727,7,0.7402487200141038,0.637795263670015,True,4,4,0.0001032084968423,-8.739786381515016e-06,0.0001119482832238,2.0,1.6549558270005589,0.0979334585905577,1.6807734055168375,0.5690826435086866,7.823452382109033,True,True,True,False,False,False,False,False,False,False,False,pass,pass,True,raw_failed_event_penalty_rank,9,True,12.260731088463215,449.64086386159033,9.808584870770574,93.48056920375603,85.55379988097046,5.1303655442316085,False,False,122.31882622854027,122.31882622854027,0.15841584158415842,0.2079207920792079,False,False,False,False
1431344,5,gap_heavy,1,tps_like_chi2_robust_hardened,integrated_wavelet_whitening,tps_like_chi2_robust,False,2.0,444.41043848144034,4.0,0.0005,0.45,True,,12.178992881206796,450.1107987329961,9.808584870770574,92.19439945381365,,3,8,0.375,591,20,5.089496440603398,False,False,0.4087257501669228,db6,44,686,7,0.0209786420211848,0.0004999999974948,418,84.05994749873496,92.19439945381365,0.911768480479622,8,8,1.0,0.875,0.2031265695066287,0.9107124919924244,2.4211527706397153,1.9641523557225795,0.811246766226822,0.8672592729568747,0.0001294439143718,0.500562433067101,7.786262796972625e-05,3.457077993884275e-05,7.392793147372549,7,1.056113306767507,0.3891586049347555,True,4,4,0.0001540082339611,2.915921050014871e-05,0.000124849023461,1.363222856858613,1.7615418448854,0.0781467370657558,2.854241288966314,0.3880884096408219,7.633450907983679,True,True,True,False,False,False,False,False,False,False,False,pass,pass,True,raw_failed_event_penalty_rank,3,True,12.076820122136269,450.78519876318023,9.808584870770574,93.18279960817148,86.74167158869739,5.038410061068134,False,False,122.31882622854027,122.31882622854027,0.15841584158415842,0.13861386138613863,False,False,False,False
1431344,5,gap_heavy,2,tps_like_chi2_robust_hardened,integrated_wavelet_whitening,tps_like_chi2_robust,False,5.0,447.2604384814403,2.0,0.0005,0.75,True,,12.035951018508058,451.0303535646308,9.808584870770574,91.01953081618926,,3,8,0.375,600,20,1.4071902037016115,False,False,0.4097560830414295,db6,44,686,7,0.0210136543129686,0.0004999894170547,96,75.02580884875083,91.01953081618926,0.8242825267937582,8,8,1.0,0.75,0.2620339667660819,0.8433897522673349,0.837485694198981,0.5717368907297813,0.6826825755831244,0.7298183719292735,4.789751519956864e-05,0.9077619097593086,3.609623783944108e-05,3.774975766715555e-05,1.7904342538183624,7,0.2557763219740517,0.970524164684348,True,4,4,4.959057491673754e-05,1.9193471487034972e-05,3.0397103429702568e-05,0.883841676055726,0.4000741610608785,0.6891018949809783,1.0350092117574223,0.4591816784835926,7.716612079640292,True,True,True,False,False,False,False,False,False,False,False,pass,pass,True,raw_failed_event_penalty_rank,4,True,12.260731088463215,449.64086386159033,9.808584870770574,93.21827228693354,85.95931767581779,1.4521462176926434,False,False,122.31882622854027,122.31882622854027,0.15841584158415842,0.1485148514851485,False,False,False,False
1431344,5,gap_heavy,3,tps_like_chi2_robust_hardened,integrated_wavelet_whitening,tps_like_chi2_robust,False,5.0,445.7604384814403,8.0,0.0002,0.45,True,,12.097254673950374,450.682966183791,9.808584870770574,93.7688920129635,,3,8,0.375,600,20,1.4194509347900748,False,False,0.4089202918112278,db6,44,686,7,0.0132623429668458,0.0001999999213361,305,75.97128038580513,93.7688920129635,0.8101970574132639,8,8,1.0,0.75,0.2609114323524445,0.8446726487400634,1.523382340812849,0.9692278718299752,0.6362341520335681,0.6801629184783586,9.926295122678064e-05,0.917631764807194,6.220734549812785e-05,3.644445284538286e-05,9.344256437296329,7,1.3348937767566185,0.2288755457821045,True,4,4,5.739385651053865e-05,6.67238503942407e-05,-9.329993883702042e-06,0.150341061180897,-0.127938071374709,0.8981979820008145,1.8887134121793905,0.5866628352824544,7.833468045367151,True,True,True,False,False,False,False,False,False,False,False,pass,pass,True,raw_failed_event_penalty_rank,2,True,12.260731088463215,449.64086386159033,9.808584870770574,96.24072026399726,85.67167824616584,1.4521462176926434,False,False,122.31882622854027,122.31882622854027,0.13861386138613863,0.13861386138613863,False,False,False,False
